<<<<<<< HEAD
First discovered node mno at 1543156461.731467
First discovered node abc at 1543156462.012321
First discovered node def at 1543156462.819544
First discovered node ghi at 1543156463.055706
Received RTT request from def at 1543156463.978944
Received RTT request from def at 1543156464.0412219
Received RTT request from def at 1543156464.059506
Received RTT request from def at 1543156464.071947
Received RTT request from ghi at 1543156464.627102
Received RTT request from ghi at 1543156464.669625
Received RTT request from ghi at 1543156464.717107
Received RTT request from ghi at 1543156464.775796
Received RTT request from mno at 1543156464.88779
Received RTT request from mno at 1543156464.93979
Received RTT request from mno at 1543156464.940512
Sent RTT request to mno at 1543156464.9647932
Received RTT request from mno at 1543156464.9706829
Sent RTT request to abc at 1543156464.970874
Sent RTT request to mno at 1543156464.983509
Sent RTT request to abc at 1543156464.989426
Calculated new RTT sum 0 at 1543156464.989536
Sent RTT request to ghi at 1543156464.989677
Sent RTT request to def at 1543156464.989708
Sent RTT request to mno at 1543156465.001816
Sent RTT request to abc at 1543156465.014485
Sent RTT request to def at 1543156465.0205052
Initialized hub to jkl at 1543156465.025644
Sent RTT request to ghi at 1543156465.025683
Sent RTT request to def at 1543156465.02662
Sent RTT request to ghi at 1543156465.02668
Sent RTT request to ghi at 1543156465.027194
Sent RTT request to def at 1543156465.0273752
Sent RTT request to ghi at 1543156465.0278752
Sent RTT request to def at 1543156465.028592
Sent RTT request to abc at 1543156465.028995
Sent RTT request to mno at 1543156465.029137
Sent RTT request to ghi at 1543156465.0356321
Sent RTT request to def at 1543156465.037181
Sent RTT request to def at 1543156465.0372128
Calculated new RTT sum 0 at 1543156465.037369
Sent RTT request to abc at 1543156465.037684
Sent RTT request to ghi at 1543156465.0379431
Sent RTT request to def at 1543156465.039145
Sent RTT request to mno at 1543156465.039823
Sent RTT request to def at 1543156465.0402749
Sent RTT request to ghi at 1543156465.040307
Sent RTT request to abc at 1543156465.040332
Sent RTT request to def at 1543156465.0408478
Sent RTT request to ghi at 1543156465.041704
Sent RTT request to mno at 1543156465.041727
Sent RTT request to def at 1543156465.041929
Sent RTT request to abc at 1543156465.04747
Sent RTT request to def at 1543156465.048217
Sent RTT request to mno at 1543156465.048277
Sent RTT request to def at 1543156465.048353
Sent RTT request to ghi at 1543156465.0485
Sent RTT request to def at 1543156465.04931
Sent RTT request to ghi at 1543156465.049328
Sent RTT request to ghi at 1543156465.0499861
Sent RTT request to def at 1543156465.050205
Sent RTT request to ghi at 1543156465.050802
Sent RTT request to def at 1543156465.0511591
Sent RTT request to ghi at 1543156465.057742
Sent RTT request to ghi at 1543156465.0584042
Sent RTT request to ghi at 1543156465.059094
Sent RTT request to ghi at 1543156465.065324
Received RTT request from abc at 1543156466.064932
Received RTT request from abc at 1543156466.079791
Received RTT request from def at 1543156469.030077
Received RTT request from def at 1543156469.042065
Received RTT request from def at 1543156469.042421
Received RTT request from def at 1543156469.0644429
Received RTT request from ghi at 1543156469.715155
Received RTT request from ghi at 1543156469.7278779
Received RTT request from ghi at 1543156469.7338722
Received RTT request from ghi at 1543156469.7343411
Received RTT request from mno at 1543156470.047913
Sent RTT request to abc at 1543156470.060215
Sent RTT request to mno at 1543156470.060375
Sent RTT request to def at 1543156470.060792
Sent RTT request to ghi at 1543156470.060854
Received RTT request from mno at 1543156470.0713952
Calculated new RTT sum 0 at 1543156470.07142
Sent RTT request to abc at 1543156470.082573
Sent RTT request to mno at 1543156470.083055
Sent RTT request to ghi at 1543156470.083603
Sent RTT request to def at 1543156470.0839858
Sent RTT request to def at 1543156470.0959418
Received RTT request from abc at 1543156471.162596
Received RTT request from abc at 1543156471.162635
Received RTT request from abc at 1543156471.163151
Received RTT request from abc at 1543156471.16414
Received RTT request from abc at 1543156471.164781
Received RTT request from def at 1543156474.1333609
Received RTT request from def at 1543156474.1402261
Received RTT request from def at 1543156474.1404579
Received RTT request from def at 1543156474.14054
Received RTT request from def at 1543156474.178356
Received RTT request from ghi at 1543156474.8181949
Received RTT request from ghi at 1543156474.836041
Received RTT request from ghi at 1543156474.836624
Sent RTT request to mno at 1543156475.094611
Sent RTT request to abc at 1543156475.11878
Received RTT request from mno at 1543156475.119083
Sent RTT request to mno at 1543156475.1197498
Sent RTT request to def at 1543156475.136362
Received RTT request from mno at 1543156475.1363919
Sent RTT request to ghi at 1543156475.136738
Received RTT request from mno at 1543156475.136857
Received RTT request from mno at 1543156475.1374028
Received RTT request from mno at 1543156475.137491
Calculated new RTT sum 0 at 1543156475.1427488
Sent RTT request to abc at 1543156475.142934
Sent RTT request to def at 1543156475.143556
Sent RTT request to ghi at 1543156475.143827
Received RTT request from mno at 1543156475.1440132
Received RTT request from mno at 1543156475.144812
Sent RTT request to def at 1543156475.144863
Sent RTT request to ghi at 1543156475.1449192
Sent RTT request to def at 1543156475.145565
Sent RTT request to ghi at 1543156475.14622
Sent RTT request to def at 1543156475.146553
Sent RTT request to ghi at 1543156475.152879
Received RTT request from abc at 1543156476.2046201
Received RTT request from abc at 1543156476.222816
Received RTT request from abc at 1543156476.228523
=======
First discovered node mno at 1543044324.916663
First discovered node def at 1543044324.954688
First discovered node abc at 1543044324.9721432
First discovered node ghi at 1543044328.595482
Received RTT request from def at 1543044332.797059
Received RTT request from def at 1543044332.845154
Received RTT request from def at 1543044332.8821492
Received RTT request from mno at 1543044333.069571
Received RTT request from mno at 1543044333.100009
Sent RTT request to mno at 1543044333.487464
Sent RTT request to mno at 1543044333.528363
